,PERSON_ID,FIRST_NAME,LAST_NAME,DISPLAY_FIRST_LAST,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FI_LAST,PLAYER_SLUG,BIRTHDATE,SCHOOL,COUNTRY,LAST_AFFILIATION,HEIGHT,WEIGHT,SEASON_EXP,JERSEY,POSITION,ROSTERSTATUS,GAMES_PLAYED_CURRENT_SEASON_FLAG,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,TEAM_CITY,PLAYERCODE,FROM_YEAR,TO_YEAR,DLEAGUE_FLAG,NBA_FLAG,GAMES_PLAYED_FLAG,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,PLAYER_ID,PLAYER_NAME,TimeFrame,PTS,AST,REB,PIE,SEASON_ID,ALL_STAR_APPEARANCES
0,203937,Kyle,Anderson,Kyle Anderson,"Anderson, Kyle",K. Anderson,kyle-anderson,1993-09-20T00:00:00,UCLA,USA,UCLA/USA,6-9,230,7,1,Forward-Guard,Active,Y,1610612763,Grizzlies,MEM,grizzlies,Memphis,kyle_anderson,2014,2021,Y,Y,Y,2014,1,30,203937,Kyle Anderson,2021-22,5.3,1.7,5.3,0.059,12014,
0,201583,Ryan,Anderson,Ryan Anderson,"Anderson, Ryan",R. Anderson,ryan-anderson,1988-05-06T00:00:00,California,USA,California/USA,6-9,240,11,,Forward,Inactive,N,0,,,,,ryan_anderson,2008,2019,N,Y,Y,2008,1,21,201583,Ryan Anderson,career,12.3,0.9,5.3,,12008,0.0
0,203507,Giannis,Antetokounmpo,Giannis Antetokounmpo,"Antetokounmpo, Giannis",G. Antetokounmpo,giannis-antetokounmpo,1994-12-06T00:00:00,Filathlitikos,Greece,Filathlitikos/Greece,6-11,242,8,34,Forward,Active,Y,1610612749,Bucks,MIL,bucks,Milwaukee,giannis_antetokounmpo,2013,2021,N,Y,Y,2013,1,15,203507,Giannis Antetokounmpo,2021-22,24.5,6.5,10.5,0.195,12013,
0,1628961,Kostas,Antetokounmpo,Kostas Antetokounmpo,"Antetokounmpo, Kostas",K. Antetokounmpo,kostas-antetokounmpo,1997-11-20T00:00:00,Dayton,Greece,Dayton/Greece,6-10,200,3,37,Forward,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,kostas_antetokounmpo,2018,2020,Y,Y,Y,2018,2,60,1628961,Kostas Antetokounmpo,career,1.0,0.1,1.0,,12018,0.0
0,203648,Thanasis,Antetokounmpo,Thanasis Antetokounmpo,"Antetokounmpo, Thanasis",T. Antetokounmpo,thanasis-antetokounmpo,1992-07-18T00:00:00,Panathinaikos,Greece,Panathinaikos/Greece,6-6,219,3,43,Forward,Active,Y,1610612749,Bucks,MIL,bucks,Milwaukee,thanasis_antetokounmpo,2015,2021,Y,Y,Y,2014,2,51,203648,Thanasis Antetokounmpo,2021-22,6.0,1.0,4.5,0.083,12015,
0,2546,Carmelo,Anthony,Carmelo Anthony,"Anthony, Carmelo",C. Anthony,carmelo-anthony,1984-05-29T00:00:00,Syracuse,USA,Syracuse/USA,6-7,238,18,7,Forward,Active,Y,1610612747,Lakers,LAL,lakers,Los Angeles,carmelo_anthony,2003,2021,N,Y,Y,2003,1,3,2546,Carmelo Anthony,2021-22,14.3,1.0,4.0,0.087,12003,
0,1628384,OG,Anunoby,OG Anunoby,"Anunoby, OG",O. Anunoby,og-anunoby,1997-07-17T00:00:00,Indiana,United Kingdom,Indiana/United Kingdom,6-7,232,4,3,Forward,Active,Y,1610612761,Raptors,TOR,raptors,Toronto,og_anunoby,2017,2021,N,Y,Y,2017,1,23,1628384,OG Anunoby,2021-22,17.5,2.3,6.5,0.09,12017,
0,1627853,Ryan,Arcidiacono,Ryan Arcidiacono,"Arcidiacono, Ryan",R. Arcidiacono,ryan-arcidiacono,1994-03-26T00:00:00,Villanova,USA,Villanova/USA,6-3,195,4,51,Guard,Inactive,Y,1610612741,Bulls,CHI,bulls,Chicago,ryan_arcidiacono,2017,2020,Y,Y,Y,Undrafted,Undrafted,Undrafted,1627853,Ryan Arcidiacono,career,4.8,2.2,2.0,,12016,0.0
0,2772,Trevor,Ariza,Trevor Ariza,"Ariza, Trevor",T. Ariza,trevor-ariza,1985-06-30T00:00:00,UCLA,USA,UCLA/USA,6-8,215,17,1,Forward,Active,N,1610612747,Lakers,LAL,lakers,Los Angeles,trevor_ariza,2004,2021,N,Y,Y,2004,2,43,2772,Trevor Ariza,2020-21,9.4,1.8,4.8,0.077,12004,
0,201571,D.J.,Augustin,D.J. Augustin,"Augustin, D.J.",D. Augustin,dj-augustin,1987-11-10T00:00:00,Texas-Austin,USA,Texas-Austin/USA,5-11,183,13,14,Guard,Active,Y,1610612745,Rockets,HOU,rockets,Houston,d.j._augustin,2008,2021,N,Y,Y,2008,1,9,201571,D.J. Augustin,2021-22,2.8,2.0,0.0,0.023,12008,
0,1629028,Deandre,Ayton,Deandre Ayton,"Ayton, Deandre",D. Ayton,deandre-ayton,1998-07-23T00:00:00,Arizona,Bahamas,Arizona/Bahamas,6-11,250,3,22,Center,Active,Y,1610612756,Suns,PHX,suns,Phoenix,deandre_ayton,2018,2021,N,Y,Y,2018,1,1,1629028,Deandre Ayton,2021-22,10.3,1.7,8.0,0.089,12018,
0,1628407,Dwayne,Bacon,Dwayne Bacon,"Bacon, Dwayne",D. Bacon,dwayne-bacon,1995-08-30T00:00:00,Florida State,USA,Florida State/USA,6-6,221,4,8,Guard-Forward,Inactive,N,1610612753,Magic,ORL,magic,Orlando,dwayne_bacon,2017,2020,Y,Y,Y,2017,2,40,1628407,Dwayne Bacon,career,7.3,1.1,2.6,,12017,0.0
0,1628963,Marvin,Bagley III,Marvin Bagley III,"Bagley III, Marvin",M. Bagley III,marvin-bagley-iii,1999-03-14T00:00:00,Duke,USA,Duke/USA,6-11,235,3,35,Forward,Active,Y,1610612758,Kings,SAC,kings,Sacramento,marvin_bagley_iii,2018,2021,N,Y,Y,2018,1,2,1628963,Marvin Bagley III,2021-22,2.0,0.0,4.0,0.081,12018,
0,1628366,Lonzo,Ball,Lonzo Ball,"Ball, Lonzo",L. Ball,lonzo-ball,1997-10-27T00:00:00,UCLA,USA,UCLA/USA,6-6,190,4,2,Guard,Active,Y,1610612741,Bulls,CHI,bulls,Chicago,lonzo_ball,2017,2021,N,Y,Y,2017,1,2,1628366,Lonzo Ball,2021-22,14.3,5.0,5.8,0.121,12017,
0,1628964,Mo,Bamba,Mo Bamba,"Bamba, Mo",M. Bamba,mo-bamba,1998-05-12T00:00:00,Texas-Austin,USA,Texas-Austin/USA,7-0,231,3,5,Center,Active,Y,1610612753,Magic,ORL,magic,Orlando,mohamed_bamba,2018,2021,N,Y,Y,2018,1,6,1628964,Mo Bamba,2021-22,13.5,1.8,8.0,0.116,12018,
0,200826,J.J.,Barea,J.J. Barea,"Barea, J.J.",J. Barea,jj-barea,1984-06-26T00:00:00,Northeastern,Puerto Rico,Northeastern/Puerto Rico,5-10,180,14,5,Guard,Inactive,N,1610612742,Mavericks,DAL,mavericks,Dallas,j.j._barea,2006,2019,Y,Y,Y,Undrafted,Undrafted,Undrafted,200826,J.J. Barea,career,8.9,3.9,2.1,,12006,0.0
0,203084,Harrison,Barnes,Harrison Barnes,"Barnes, Harrison",H. Barnes,harrison-barnes,1992-05-30T00:00:00,North Carolina,USA,North Carolina/USA,6-8,225,9,40,Forward,Active,Y,1610612758,Kings,SAC,kings,Sacramento,harrison_barnes,2012,2021,N,Y,Y,2012,1,7,203084,Harrison Barnes,2021-22,28.3,1.7,10.3,0.172,12012,
0,1629628,RJ,Barrett,RJ Barrett,"Barrett, RJ",R. Barrett,rj-barrett,2000-06-14T00:00:00,Duke,Canada,Duke/Canada,6-6,214,2,9,Forward-Guard,Active,Y,1610612752,Knicks,NYK,knicks,New York,rj_barrett,2019,2021,N,Y,Y,2019,1,3,1629628,RJ Barrett,2021-22,12.0,2.8,5.8,0.059,12019,
0,203115,Will,Barton,Will Barton,"Barton, Will",W. Barton,will-barton,1991-01-06T00:00:00,Memphis,USA,Memphis/USA,6-5,181,9,5,Guard,Active,Y,1610612743,Nuggets,DEN,nuggets,Denver,will_barton,2012,2021,Y,Y,Y,2012,2,40,203115,Will Barton,2021-22,16.3,3.8,4.8,0.131,12012,
0,1628966,Keita,Bates-Diop,Keita Bates-Diop,"Bates-Diop, Keita",K. Bates-Diop,keita-bates-diop,1996-01-23T00:00:00,Ohio State,USA,Ohio State/USA,6-8,229,3,31,Forward,Active,Y,1610612759,Spurs,SAS,spurs,San Antonio,keita_bates-diop,2018,2021,Y,Y,Y,2018,2,48,1628966,Keita Bates-Diop,2021-22,4.3,0.0,3.0,0.066,12018,
0,201587,Nicolas,Batum,Nicolas Batum,"Batum, Nicolas",N. Batum,nicolas-batum,1988-12-14T00:00:00,Le Mans,France,Le Mans/France,6-8,230,13,33,Guard-Forward,Active,Y,1610612746,Clippers,LAC,clippers,LA,nicolas_batum,2008,2021,N,Y,Y,2008,1,25,201587,Nicolas Batum,2021-22,3.5,1.5,5.5,0.091,12008,
0,203382,Aron,Baynes,Aron Baynes,"Baynes, Aron",A. Baynes,aron-baynes,1986-12-09T00:00:00,Washington State,Australia,Washington State/Australia,6-10,260,9,46,Center-Forward,Inactive,N,1610612761,Raptors,TOR,raptors,Toronto,aron_baynes,2012,2020,Y,Y,Y,Undrafted,Undrafted,Undrafted,203382,Aron Baynes,career,6.0,0.8,4.6,,22012,0.0
0,203145,Kent,Bazemore,Kent Bazemore,"Bazemore, Kent",K. Bazemore,kent-bazemore,1989-07-01T00:00:00,Old Dominion,USA,Old Dominion/USA,6-4,195,9,9,Guard-Forward,Active,Y,1610612747,Lakers,LAL,lakers,Los Angeles,kent_bazemore,2012,2021,Y,Y,Y,Undrafted,Undrafted,Undrafted,203145,Kent Bazemore,2021-22,7.0,0.5,2.0,0.018,12012,
0,1629647,Darius,Bazley,Darius Bazley,"Bazley, Darius",D. Bazley,darius-bazley,2000-06-12T00:00:00,Princeton HS (OH),USA,Princeton HS (OH)/USA,6-8,208,2,7,Forward,Active,Y,1610612760,Thunder,OKC,thunder,Oklahoma City,darius_bazley,2019,2021,N,Y,Y,2019,1,23,1629647,Darius Bazley,2021-22,8.8,1.8,6.3,0.083,12019,
0,203078,Bradley,Beal,Bradley Beal,"Beal, Bradley",B. Beal,bradley-beal,1993-06-28T00:00:00,Florida,USA,Florida/USA,6-4,207,9,3,Guard,Active,Y,1610612764,Wizards,WAS,wizards,Washington,bradley_beal,2012,2021,N,Y,Y,2012,1,3,203078,Bradley Beal,2021-22,21.0,4.0,3.0,0.099,12012,
0,1627736,Malik,Beasley,Malik Beasley,"Beasley, Malik",M. Beasley,malik-beasley,1996-11-26T00:00:00,Florida State,USA,Florida State/USA,6-4,187,5,5,Guard,Active,Y,1610612750,Timberwolves,MIN,timberwolves,Minnesota,malik_beasley,2016,2021,Y,Y,Y,2016,1,19,1627736,Malik Beasley,2021-22,6.7,2.0,2.0,0.066,12016,
0,201158,Marco,Belinelli,Marco Belinelli,"Belinelli, Marco",M. Belinelli,marco-belinelli,1986-03-25T00:00:00,,Italy,Fortitudo Bologna/Italy,6-5,220,13,18,Guard,Inactive,N,1610612759,Spurs,SAS,spurs,San Antonio,marco_belinelli,2007,2019,N,Y,Y,2007,1,18,201158,Marco Belinelli,career,9.7,1.7,2.1,,12007,0.0
0,1628395,Jordan,Bell,Jordan Bell,"Bell, Jordan",J. Bell,jordan-bell,1995-01-07T00:00:00,Oregon,USA,Oregon/USA,6-8,216,4,7,Forward,Inactive,Y,1610612744,Warriors,GSW,warriors,Golden State,jordan_bell,2017,2020,Y,Y,Y,2017,2,38,1628395,Jordan Bell,career,3.7,1.3,3.1,,12017,0.0
0,1627761,DeAndre',Bembry,DeAndre' Bembry,"Bembry, DeAndre'",D. Bembry,deandre-bembry,1994-07-04T00:00:00,St. Joseph's (PA),USA,St. Joseph's (PA)/USA,6-5,210,5,95,Guard-Forward,Active,Y,1610612751,Nets,BKN,nets,Brooklyn,deandre'_bembry,2016,2021,Y,Y,Y,2016,1,21,1627761,DeAndre' Bembry,2021-22,2.3,0.3,1.0,0.117,12016,
0,1627733,Dragan,Bender,Dragan Bender,"Bender, Dragan",D. Bender,dragan-bender,1997-11-17T00:00:00,,Croatia,Maccabi Tel Aviv/Croatia,7-0,249,3,,Forward,Inactive,N,0,,,,,dragan_bender,2016,2019,Y,Y,Y,2016,1,4,1627733,Dragan Bender,career,5.4,1.3,3.9,,12016,0.0
0,202722,Davis,Bertans,Davis Bertans,"Bertans, Davis",D. Bertans,davis-bertans,1992-11-12T00:00:00,Baskonia,Latvia,Baskonia/Latvia,6-10,225,5,42,Forward,Active,Y,1610612764,Wizards,WAS,wizards,Washington,davis_bertans,2016,2021,Y,Y,Y,2011,2,42,202722,Davis Bertans,2021-22,5.7,1.0,1.7,0.024,12016,
0,201976,Patrick,Beverley,Patrick Beverley,"Beverley, Patrick",P. Beverley,patrick-beverley,1988-07-12T00:00:00,Arkansas,USA,Arkansas/USA,6-1,180,9,22,Guard,Active,Y,1610612750,Timberwolves,MIN,timberwolves,Minnesota,patrick_beverley,2012,2021,Y,Y,Y,2009,2,42,201976,Patrick Beverley,2021-22,9.0,4.0,2.5,0.154,12010,
0,203920,Khem,Birch,Khem Birch,"Birch, Khem",K. Birch,khem-birch,1992-09-28T00:00:00,UNLV,Canada,UNLV/Canada,6-9,233,4,24,Center,Active,Y,1610612761,Raptors,TOR,raptors,Toronto,khem_birch,2017,2021,Y,Y,Y,Undrafted,Undrafted,Undrafted,203920,Khem Birch,2021-22,6.5,0.8,5.0,0.12,12014,
0,1629048,Goga,Bitadze,Goga Bitadze,"Bitadze, Goga",G. Bitadze,goga-bitadze,1999-07-20T00:00:00,Mega Basket,Georgia,Mega Basket/Georgia,7-0,250,2,88,Center-Forward,Active,Y,1610612754,Pacers,IND,pacers,Indiana,goga_bitadze,2019,2021,Y,Y,Y,2019,1,18,1629048,Goga Bitadze,2021-22,7.0,1.0,9.0,0.051,12019,
0,202687,Bismack,Biyombo,Bismack Biyombo,"Biyombo, Bismack",B. Biyombo,bismack-biyombo,1992-08-28T00:00:00,Baloncesto Fuenlabrada,Democratic Republic of the Congo,Baloncesto Fuenlabrada/DRC,6-8,255,10,8,Center,Inactive,N,1610612766,Hornets,CHA,hornets,Charlotte,bismack_biyombo,2011,2020,N,Y,Y,2011,1,7,202687,Bismack Biyombo,career,5.1,0.6,6.1,,12011,0.0
0,202357,Nemanja,Bjelica,Nemanja Bjelica,"Bjelica, Nemanja",N. Bjelica,nemanja-bjelica,1988-05-09T00:00:00,Fenerbahce,Serbia,Fenerbahce/Serbia,6-9,234,6,8,Forward,Active,Y,1610612744,Warriors,GSW,warriors,Golden State,nemanja_bjelica,2015,2021,N,Y,Y,2010,2,35,202357,Nemanja Bjelica,2021-22,6.3,1.3,5.5,0.155,12015,
0,202339,Eric,Bledsoe,Eric Bledsoe,"Bledsoe, Eric",E. Bledsoe,eric-bledsoe,1989-12-09T00:00:00,Kentucky,USA,Kentucky/USA,6-1,214,11,5,Guard,Active,Y,1610612746,Clippers,LAC,clippers,LA,eric_bledsoe,2010,2021,Y,Y,Y,2010,1,18,202339,Eric Bledsoe,2021-22,13.7,5.3,4.7,0.103,12010,
0,203992,Bogdan,Bogdanovic,Bogdan Bogdanovic,"Bogdanovic, Bogdan",B. Bogdanovic,bogdan-bogdanovic,1992-08-18T00:00:00,Fenerbahce,Serbia,Fenerbahce/Serbia,6-6,225,4,13,Guard,Active,Y,1610612737,Hawks,ATL,hawks,Atlanta,bogdan_bogdanovic,2017,2021,N,Y,Y,2014,1,27,203992,Bogdan Bogdanovic,2021-22,10.0,1.7,2.7,0.068,12017,
0,202711,Bojan,Bogdanovic,Bojan Bogdanovic,"Bogdanovic, Bojan",B. Bogdanovic,bojan-bogdanovic,1989-04-18T00:00:00,Fenerbahce,Croatia,Fenerbahce/Croatia,6-7,226,7,44,Forward,Active,Y,1610612762,Jazz,UTA,jazz,Utah,bojan_bogdanovic,2014,2021,N,Y,Y,2011,2,31,202711,Bojan Bogdanovic,2021-22,16.7,1.0,3.7,0.106,12014,
0,1629626,Bol,Bol,Bol Bol,"Bol, Bol",B. Bol,bol-bol,1999-11-16T00:00:00,Oregon,Sudan,Oregon/Sudan,7-2,220,2,10,Center-Forward,Active,Y,1610612743,Nuggets,DEN,nuggets,Denver,bol_bol,2019,2021,Y,Y,Y,2019,2,44,1629626,Bol Bol,2021-22,2.0,0.0,1.0,0.286,12019,
0,1628413,Jonah,Bolden,Jonah Bolden,"Bolden, Jonah",J. Bolden,jonah-bolden,1996-01-02T00:00:00,UCLA,Australia,UCLA/Australia,6-8,225,1,,Forward,Inactive,N,0,,,,,jonah_bolden,2018,2019,Y,Y,Y,2017,2,36,1628413,Jonah Bolden,career,4.3,0.8,3.4,,12018,0.0
0,1629648,Jordan,Bone,Jordan Bone,"Bone, Jordan",J. Bone,jordan-bone,1997-11-05T00:00:00,Tennessee,USA,Tennessee/USA,6-2,180,1,,Guard,Inactive,N,0,,,,,jordan_bone,2019,2020,Y,Y,Y,2019,2,57,1629648,Jordan Bone,career,2.8,1.1,1.2,,12019,0.0
0,1629067,Isaac,Bonga,Isaac Bonga,"Bonga, Isaac",I. Bonga,isaac-bonga,1999-11-08T00:00:00,Skyliners Frankfurt,Germany,Skyliners Frankfurt/Germany,6-8,180,3,17,Guard,Active,Y,1610612761,Raptors,TOR,raptors,Toronto,isaac_bonga,2018,2021,Y,Y,Y,2018,2,39,1629067,Isaac Bonga,2021-22,1.0,1.0,1.0,0.19,12018,
0,1626164,Devin,Booker,Devin Booker,"Booker, Devin",D. Booker,devin-booker,1996-10-30T00:00:00,Kentucky,USA,Kentucky/USA,6-5,206,6,1,Guard,Active,Y,1610612756,Suns,PHX,suns,Phoenix,devin_booker,2015,2021,N,Y,Y,2015,1,13,1626164,Devin Booker,2021-22,18.3,4.0,4.3,0.088,12015,
0,1628449,Chris,Boucher,Chris Boucher,"Boucher, Chris",C. Boucher,chris-boucher,1993-01-11T00:00:00,Oregon,Saint Lucia,Oregon/Saint Lucia,6-9,200,4,25,Forward-Center,Active,Y,1610612761,Raptors,TOR,raptors,Toronto,chris_boucher,2017,2021,Y,Y,Y,Undrafted,Undrafted,Undrafted,1628449,Chris Boucher,2021-22,5.3,0.3,4.5,0.111,22017,
0,1628968,Brian,Bowen II,Brian Bowen II,"Bowen II, Brian",B. Bowen II,brian-bowen-ii,1998-10-02T00:00:00,Sydney Kings,USA,Sydney Kings/USA,6-6,190,2,,Forward-Guard,Inactive,Y,0,,,,,brian_bowen_ii,2019,2020,Y,Y,Y,Undrafted,Undrafted,Undrafted,1628968,Brian Bowen II,career,0.8,0.0,0.8,,12019,0.0
0,1629065,Ky,Bowman,Ky Bowman,"Bowman, Ky",K. Bowman,ky-bowman,1997-06-16T00:00:00,Boston College,USA,Boston College/USA,6-1,187,1,12,Guard,Inactive,N,1610612744,Warriors,GSW,warriors,Golden State,ky_bowman,2019,2019,Y,Y,Y,Undrafted,Undrafted,Undrafted,1629065,Ky Bowman,career,7.4,2.9,2.7,,12019,0.0
0,202340,Avery,Bradley,Avery Bradley,"Bradley, Avery",A. Bradley,avery-bradley,1990-11-26T00:00:00,Texas-Austin,USA,Texas-Austin/USA,6-3,180,11,20,Guard,Active,Y,1610612747,Lakers,LAL,lakers,Los Angeles,avery_bradley,2010,2021,Y,Y,Y,2010,1,19,202340,Avery Bradley,2021-22,2.0,0.3,0.3,-0.011,12010,
0,1628396,Tony,Bradley,Tony Bradley,"Bradley, Tony",T. Bradley,tony-bradley,1998-01-08T00:00:00,North Carolina,USA,North Carolina/USA,6-10,248,4,13,Center-Forward,Active,Y,1610612741,Bulls,CHI,bulls,Chicago,tony_bradley,2017,2021,Y,Y,Y,2017,1,28,1628396,Tony Bradley,2021-22,2.0,0.0,1.0,0.071,12017,
0,1629714,Jarrell,Brantley,Jarrell Brantley,"Brantley, Jarrell",J. Brantley,jarrell-brantley,1996-06-07T00:00:00,College of Charleston,USA,College of Charleston/USA,6-5,250,2,5,Forward,Inactive,N,1610612762,Jazz,UTA,jazz,Utah,jarrell_brantley,2019,2020,Y,Y,Y,2019,2,50,1629714,Jarrell Brantley,career,2.4,0.7,1.3,,12019,0.0
0,1629649,Ignas,Brazdeikis,Ignas Brazdeikis,"Brazdeikis, Ignas",I. Brazdeikis,ignas-brazdeikis,1999-01-08T00:00:00,Michigan,Canada,Michigan/Canada,6-6,221,2,17,Forward,Active,Y,1610612753,Magic,ORL,magic,Orlando,ignas_brazdeikis,2019,2021,Y,Y,Y,2019,2,47,1629649,Ignas Brazdeikis,2021-22,0.5,0.8,1.3,-0.024,12019,
0,1628969,Mikal,Bridges,Mikal Bridges,"Bridges, Mikal",M. Bridges,mikal-bridges,1996-08-30T00:00:00,Villanova,USA,Villanova/USA,6-6,209,3,25,Forward,Active,Y,1610612756,Suns,PHX,suns,Phoenix,mikal_bridges,2018,2021,N,Y,Y,2018,1,10,1628969,Mikal Bridges,2021-22,17.0,1.3,4.0,0.112,12018,
0,1628970,Miles,Bridges,Miles Bridges,"Bridges, Miles",M. Bridges,miles-bridges,1998-03-21T00:00:00,Michigan State,USA,Michigan State/USA,6-7,225,3,0,Forward,Active,Y,1610612766,Hornets,CHA,hornets,Charlotte,miles_bridges,2018,2021,N,Y,Y,2018,1,12,1628970,Miles Bridges,2021-22,25.0,2.3,8.5,0.148,12018,
0,1629052,Oshae,Brissett,Oshae Brissett,"Brissett, Oshae",O. Brissett,oshae-brissett,1998-06-20T00:00:00,Syracuse,Canada,Syracuse/Canada,6-7,210,2,12,Forward-Guard,Active,Y,1610612754,Pacers,IND,pacers,Indiana,oshae_brissett,2019,2021,Y,Y,Y,Undrafted,Undrafted,Undrafted,1629052,Oshae Brissett,2021-22,7.0,1.0,5.0,0.07,12019,
0,1629151,Ryan,Broekhoff,Ryan Broekhoff,"Broekhoff, Ryan",R. Broekhoff,ryan-broekhoff,1990-08-23T00:00:00,Valparaiso,Australia,Valparaiso/Australia,6-6,215,2,45,Guard-Forward,Inactive,N,1610612755,76ers,PHI,sixers,Philadelphia,ryan_broekhoff,2018,2019,N,Y,Y,Undrafted,Undrafted,Undrafted,1629151,Ryan Broekhoff,career,4.0,0.6,1.8,,12018,0.0
0,1627763,Malcolm,Brogdon,Malcolm Brogdon,"Brogdon, Malcolm",M. Brogdon,malcolm-brogdon,1992-12-11T00:00:00,Virginia,USA,Virginia/USA,6-5,229,5,7,Guard,Active,Y,1610612754,Pacers,IND,pacers,Indiana,malcolm_brogdon,2016,2021,N,Y,Y,2016,2,36,1627763,Malcolm Brogdon,2021-22,24.8,7.5,7.5,0.137,12016,
